kanji;strokes;grade;freq;jlpt_old;jlpt_new;meanings;readings_on;readings_kun;wk_level;wk_meanings;wk_readings_on;wk_readings_kun;wk_radicals
作;7;2;103;3;4;[Make, Production, Prepare, Build];[さく, さ];[つく.る, つく.り, -づく.り];5;[Make];[さく, さ];[つく];[Leader, Key];;;;
性;8;5;104;2;3;[Sex, Gender, Nature];[せい, しょう];[さが];14;[Gender, Nature, Sex];[せい, しょう];[];[Soul, Life];;;;
的;8;4;105;2;;[Bulls Eye, Mark, Target, Object, Adjective Ending],;[てき];[まと];14;[Target, Al, ~Al, Like, ~Like];[てき];[まと];[White, Pool];;;
要;9;4;106;2;3;[Need, Main Point, Essence, Pivot, Key To];[よう];[い.る, かなめ];9;[Need];[よう];[い, かなめ];[Helicopter, Woman];;;;
用;5;2;107;3;4;[Utilize, Business, Service, Use, Employ];[よう];[もち.いる];3;[Task, Use];[よう];[もち];[Task];;;;
制;8;5;108;2;3;[System, Law, Rule];[せい];[];21;[Control, System];[せい];[];[Life, Towel, Knife];;;;
治;8;4;109;2;3;[Reign, Be At Peace, Calm Down, Subdue, Quell, Govt, Cure, Heal, Rule, Conserve];[じ, ち];[おさ.める, おさ.まる, なお.る, なお.す];16;[Cure, Heal, Reign, Rule];[じ, ち];[なお];[Tsunami, Machine];;;;
度;9;3;110;3;4;[Degrees, Occurrence, Time, Counter For Occurrences, Consider, Attitude];[ど, と, たく];[たび, -た.い];9;[Degrees, Occurrence];[ど, たく];[たび];[Yurt, Stool];;;;
務;11;5;111;2;3;[Task, Duties];[む];[つと.める];21;[Task];[む];[つと];[Spear, Winter, Power];;;;
強;11;2;112;3;4;[Strong];[きょう, ごう];[つよ.い, つよ.まる, つよ.める, し.いる, こわ.い];7;[Strong, Strength];[きょう];[つよ];[Bow, Private, Insect];;;;
気;6;1;113;4;5;[Spirit, Mind, Air, Atmosphere, Mood];[き, け];[いき];4;[Energy, Spirit];[き, け];[いき];[Energy, Treasure];;;;
小;3;1;114;4;5;[Little, Small];[しょう];[ちい.さい, こ-, お-, さ-];2;[Small, Little];[しょう];[ちい, こ, お];[Small];;;;
七;2;1;115;4;5;[Seven];[しち];[なな, なな.つ, なの];1;[Seven];[しち];[なな, なの];[Seven];;;;
成;6;4;116;2;3;[Turn Into, Become, Get, Grow, Elapse, Reach];[せい, じょう];[な.る, な.す, -な.す];11;[Become];[せい];[な];[Drunkard, Sword];;;;
期;12;3;117;2;3;[Period, Time, Date, Term];[き, ご];[];12;[Period Of Time, Time Period];[き];[];[Crab, Moon];;;;
公;4;2;118;2;4;[Public, Prince, Official, Governmental];[こう, く];[おおやけ];3;[Public];[こう];[];[Fins, Private];;;;
持;9;3;119;3;4;[Hold, Have];[じ];[も.つ, -も.ち, も.てる];9;[Hold];[じ];[も];[Fingers, Temple];;;;
野;11;2;120;3;4;[Plains, Field, Rustic, Civilian Life];[や, しょ];[の, の-];12;[Field];[や];[の];[Village, Beforehand];;;;
協;8;4;121;2;2;[Co-, Cooperation];[きょう];[];14;[Cooperation];[きょう];[];[Cross, Power];;;;
取;8;3;122;2;3;[Take, Fetch, Take Up];[しゅ];[と.る, と.り, と.り-, とり, -ど.り];16;[Take];[しゅ];[と];[Ear, Stool];;;;
都;11;3;123;3;3;[Metropolis, Capital, All, Everything];[と, つ];[みやこ];12;[Metropolis];[と, つ];[みやこ];[Someone, Building];;;;
和;8;3;124;2;3;[Harmony, Japanese Style, Peace, Soften, Japan];[わ, お, か];[やわ.らぐ, やわ.らげる, なご.む, なご.やか, あ.える];9;[Peace, Japanese Style];[わ, お];[なご, やわ];[Grain, Mouth];;;;
統;12;5;125;1;1;[Overall, Relationship, Ruling, Governing];[とう];[す.べる, ほび.る];22;[Unite];[とう];[す];[Thread, Allocate];;;;
以;5;4;126;3;4;[By Means Of, Because, In View Of, Compared With];[い];[もっ.て];7;[From, Since, Compared With, With, By Means Of];[い];[];[Lion, Drop, Person];;;;
機;16;4;127;2;3;[Loom, Mechanism, Machine, Airplane, Opportunity, Potency, Efficacy, Occasion];[き];[はた];20;[Machine];[き];[はた];[Tree, Poop, Drunkard, Person];;;;
平;5;3;128;2;3;[Even, Flat, Peace];[へい, びょう, ひょう];[たい.ら, -だいら, ひら, ひら-];4;[Flat, Peace];[へい, ひょう, びょう];[たいら, ひら];[Dry, Horns];;;;
総;14;5;129;2;2;[General, Whole, All, Full, Total];[そう];[す.べて, すべ.て, ふさ];21;[Whole];[そう];[];[Thread, Public, Heart];;;;
加;5;4;130;2;3;[Add, Addition, Increase, Join, Include, Canada];[か];[くわ.える, くわ.わる];19;[Add];[か];[くわ];[Power, Mouth];;;;
山;3;1;131;4;5;[Mountain];[さん, せん];[やま];1;[Mountain];[さん];[やま];[Mountain];;;;
思;9;2;132;3;4;[Think];[し];[おも.う, おもえら.く, おぼ.す];6;[Think, Thought];[し];[おも];[Rice Paddy, Heart];;;;
家;10;2;133;3;4;[House, Home, Family, Professional, Expert, Performer];[か, け];[いえ, や, うち];7;[House, Home];[か, け];[いえ, や, うち];[Roof, Pig];;;;
話;13;2;134;4;5;[Tale, Talk];[わ];[はな.す, はなし];8;[Talk, Speak];[わ];[はな, はなし];[Say, Tongue];;;;
世;5;3;135;3;4;[Generation, World, Society, Public];[せい, せ, そう];[よ];4;[World, Generation];[せ, せい];[よ];[World];;;;
受;8;3;136;2;3;[Accept, Undergo, Answer (phone), Take, Get, Catch, Receive];[じゅ];[う.ける, -う.け, う.かる];9;[Accept, Receive];[じゅ];[う];[Cleat, Forehead, Stool];;;;
区;4;3;137;3;2;[Ward, District];[く, おう, こう];[];15;[District, Ward];[く];[];[Cage, Treasure];;;;
領;14;5;138;2;2;[Jurisdiction, Dominion, Territory, Fief, Reign];[りょう];[えり];22;[Territory];[りょう];[];[Orders, Geoduck];;;;
多;6;2;139;4;4;[Many, Frequent, Much];[た];[おお.い, まさ.に, まさ.る];5;[Many, Much, Lots Of];[た];[おお];[Evening];;;;
県;9;3;140;3;2;[Prefecture];[けん];[か.ける];9;[Prefecture];[けん];[];[Eye, Lion, Small];;;;
続;13;4;141;2;3;[Continue, Series, Sequel];[ぞく, しょく, こう, きょう];[つづ.く, つづ.ける, つぐ.ない];19;[Continue];[ぞく];[つづ];[Thread, Sell];;;;
進;11;3;142;3;3;[Advance, Proceed, Progress, Promote];[しん];[すす.む, すす.める];10;[Advance];[しん];[すす];[Scooter, Turkey];;;;
正;5;1;143;3;4;[Correct, Justice, Righteous, 10**40];[せい, しょう];[ただ.しい, ただ.す, まさ, まさ.に];2;[Correct];[せい, しょう];[ただ, まさ];[Ground, Stop];;;;
安;6;3;144;4;4;[Relax, Cheap, Low, Quiet, Rested, Contented, Peaceful];[あん];[やす.い, やす.まる, やす, やす.らか];6;[Relax, Cheap];[あん];[やす];[Roof, Woman];;;;
設;11;5;145;2;2;[Establishment, Provision, Prepare];[せつ];[もう.ける];21;[Establish];[せつ];[もう];[Say, Weapon];;;;
保;9;5;146;2;1;[Protect, Guarantee, Keep, Preserve, Sustain, Support];[ほ, ほう];[たも.つ];9;[Preserve, Guarantee];[ほ];[たも];[Leader, Mouth, Tree];;;;
改;7;4;147;2;2;[Reformation, Change, Modify, Mend, Renew, Examine, Inspect, Search];[かい];[あらた.める, あらた.まる];19;[Renew];[かい];[あらた];[Oneself, Winter];;;;
数;13;2;148;2;3;[Number, Strength, Fate, Law, Figures];[すう, す, さく, そく, しゅ];[かず, かぞ.える, しばしば, せ.める, わずらわ.しい];8;[Count, Number, Amount];[すう];[かぞ, かず];[Rice, Woman, Winter];;;;
記;10;2;149;2;3;[Scribe, Account, Narrative];[き];[しる.す];7;[Write Down, Record];[き];[しる];[Say, Oneself];;;;
院;10;3;150;3;4;[Inst., Institution, Temple, Mansion, School];[いん];[];10;[Institution];[いん];[];[Building, Roof, Origin];;;;
女;3;1;151;4;5;[Woman, Female];[じょ, にょ, にょう];[おんな, め];1;[Woman];[じょ];[おんな, め];[Woman];;;;
初;7;4;152;2;3;[First Time, Beginning];[しょ];[はじ.め, はじ.めて, はつ, はつ-, うい-, -そ.める, -ぞ.め];11;[First];[しょ];[はじ, はつ, そ, ぞ];[Spirit, Sword];;;;
北;5;2;153;4;5;[North];[ほく];[きた];3;[North];[ほく];[きた];[Fingers, Spoon];;;;
